card_type,total_trips,avg_monthly_trips
Adult,1215543841.15,3503008.1877521616
CTP,871337879.7999998,2503844.4821839076
Senior/Pensioner,369791695.36999995,1084433.1242521992
Concession,142921925.01000002,417900.3655263159
School Student,130099473.12999998,382645.5092058823
Child/Youth,104808571.41,303792.96060869563
Employee,18866079.22,54684.2875942029
Sgl Trip Rail Adult,5188362.32,37326.34762589928
Free Travel,3497099.8199999994,10255.42469208211
Sgl Trip Rail Child/Youth,3016096.0599999977,21855.76855072462
Sgl Trip Ferry Adult,1323869.0,19468.66176470588
On Demand,1197442.0,17872.268656716416
Sgl Trip Ferry Child/Youth,687417.0,10109.073529411764
Sgl Trip LR Adult,204385.0,3005.6617647058824
Adult Single Bus Trip 1,128250.0,2671.875
Day Pass without SAF,112249.87000000001,331.12056047197643
Sgl Trip LR Child/Youth,100996.0,1485.235294117647
Adult Single Bus Trip 2,65264.0,1359.6666666666667
Child/Youth Single Bus Trip 1,37021.0,860.953488372093
Child/Youth Single Bus Trip 2,26897.0,747.1388888888889
Adult Single Bus Trip 3,19290.0,401.875
Child/Youth Single Bus Trip 3,9684.0,403.5
Day Pass Child/Youth w/o SAF,9564.0,43.276018099547514
UNKNOWN,4711.799999999999,52.941573033707854
