station_name,total_entries,total_exits,net_entry_exit_imbalance,abs_imbalance,total_flow
Wynyard Station,118520.0,124500.0,-5980.0,5980.0,243020.0
Central Station,127820.0,132480.0,-4660.0,4660.0,260300.0
Martin Place Station,29800.0,33990.0,-4190.0,4190.0,63790.0
Domestic Station,15490.0,12750.0,2740.0,2740.0,28240.0
Newtown Station,15500.0,17600.0,-2100.0,2100.0,33100.0
Redfern Station,39840.0,41770.0,-1930.0,1930.0,81610.0
Chatswood Station,43210.0,44920.0,-1710.0,1710.0,88130.0
Parramatta Station,65270.0,66860.0,-1590.0,1590.0,132130.0
Circular Quay Station,55400.0,53810.0,1590.0,1590.0,109210.0
North Sydney Station,37920.0,39310.0,-1390.0,1390.0,77230.0
Museum Station,18510.0,19820.0,-1310.0,1310.0,38330.0
Auburn Station,25080.0,24040.0,1040.0,1040.0,49120.0
Kings Cross Station,23200.0,24240.0,-1040.0,1040.0,47440.0
Strathfield Station,39250.0,38290.0,960.0,960.0,77540.0
Blacktown Station,25680.0,26630.0,-950.0,950.0,52310.0
St James Station,14720.0,15650.0,-930.0,930.0,30370.0
Kogarah Station,17590.0,16760.0,830.0,830.0,34350.0
Westmead Station,11340.0,10540.0,800.0,800.0,21880.0
Green Square Station,19140.0,18420.0,720.0,720.0,37560.0
Meadowbank Station,8180.0,7510.0,670.0,670.0,15690.0
