year,month,month_name,total_trips
2020,1,January,57098170.0
2020,2,February,60289465.0
2020,3,March,45048295.0
2020,4,April,12186661.0
2020,5,May,18970297.0
2020,6,June,28093950.0
2020,7,July,30981173.0
2020,8,August,29776835.0
2020,9,September,31752323.0
2020,10,October,33452574.0
2020,11,November,35210189.0
2020,12,December,32616769.0
2021,1,January,27921446.0
2021,2,February,36203854.0
2021,3,March,41930788.0
2021,4,April,40552149.0
2021,5,May,41956834.0
2021,6,June,34433909.0
2021,7,July,11096000.0
2021,8,August,9086788.0
2021,9,September,9899727.0
2021,10,October,19416167.0
2021,11,November,29474813.0
2021,12,December,28019117.0
2022,1,January,20612534.0
2022,2,February,27520237.0
2022,3,March,34533253.0
2022,4,April,34541683.0
2022,5,May,39831625.0
2022,6,June,40386264.0
2022,7,July,35678755.0
2022,8,August,39726817.0
2022,9,September,39300121.0
2022,10,October,42085042.0
2022,11,November,40484935.0
2022,12,December,42734291.0
2023,1,January,40964219.0
2023,2,February,46814658.0
2023,3,March,53708668.0
2023,4,April,43575407.0
2023,5,May,52074274.0
2023,6,June,49893293.0
2023,7,July,48968013.0
2023,8,August,54565883.0
2023,9,September,52017302.0
2023,10,October,53645206.0
2023,11,November,53919493.0
2023,12,December,48810669.0
2024,1,January,47682619.54
2024,2,February,55191859.39000001
2024,3,March,57938017.919999994
2024,4,April,51900615.01999999
2024,5,May,56628689.52
2024,6,June,50102141.980000004
2024,7,July,53222069.92999999
2024,8,August,57798536.36999998
2024,9,September,54735748.09999999
2024,10,October,58396478.580000006
2024,11,November,55532304.46999999
2024,12,December,51576100.0
2025,1,January,48377566.05
2025,2,February,53562417.829999976
2025,3,March,60618732.650000006
2025,4,April,54225904.07
2025,5,May,56568669.49000001
2025,6,June,53908206.80000001
2025,7,July,53994670.74000001
2025,8,August,55175780.51
