year,transport_mode,total_trips
2020,Train,206638633.0
2020,Bus,175159516.0
2020,Light Rail,13985541.0
2020,Metro,12910947.0
2020,Ferry,6782064.0
2021,Train,162925282.0
2021,Bus,135579248.0
2021,Light Rail,14733662.0
2021,Metro,11353953.0
2021,Ferry,5399447.0
2022,Train,210086542.0
2022,Bus,173764308.0
2022,Light Rail,26384544.0
2022,Metro,16267213.0
2022,Ferry,10932950.0
2023,Train,293045272.0
2023,Bus,228798407.0
2023,Light Rail,38606840.0
2023,Metro,22594289.0
2023,Ferry,15912277.0
2024,train,310503785.84
2024,bus,240485217.0
2024,light rail,41577831.0
2024,metro,39857527.980000004
2024,ferry,18280665.0
2024,unallocated,154.0
2025,train,185601187.70000002
2025,bus,160214691.0
2025,metro,47820802.440000005
2025,light rail,30805269.0
2025,ferry,11989368.0
2025,unallocated,630.0
